id,title,started_at,ended_at,category
log-0001,Born,1984-08-08,,life
log-0002,Fabrinet,2008-01-01,2012-06-30,life
log-0003,Savvy Business Solution,2013-03-11,2014-01-09,life
log-0004,Nikon D7000,2013-09-10,2022-11-11,things
log-0005,Adobe Creative Cloud,2013-12-23,,subscription
log-0006,"Indigy Co., Ltd.",2014-01-09,2015-09-30,life
log-0007,Emerio (Thailand) Ltd.,2015-10-01,2016-04-01,life
log-0008,"Kobkiat Global Co.,Ltd.",2016-05-02,2017-06-30,life
log-0009,First met (Nami),2016-06-14,,life
log-0010,Anniversary (Nami),2016-07-20,,life
log-0011,Netflix,2017-03-01,,subscription
log-0012,Bluestone PIM Life,2017-07-01,2018-02-28,life
log-0013,Climbing,2017-08-21,,habit
log-0014,Spotify,2017-11-17,,subscription
log-0015,The Sky Mortgage,2018-01-31,2024-01-01,life
log-0016,The Asia,2018-03-01,2019-01-31,life
log-0017,iPhone 11,2019-01-12,2024-01-13,things
log-0018,Kaidee,2019-02-01,2023-02-28,life
log-0019,Youtube Premium,2019-11-01,,subscription
log-0020,Apple Watch,2019-12-01,,things
log-0021,Airpods Pro,2019-12-01,2025-02-12,things
log-0022,Wedding anniversary (Nami),2020-11-28,,life
log-0023,iPad Air 4,2020-12-01,,things
log-0024,Tenaya Oasi,2020-12-20,2022-02-08,things
log-0025,Bujo,2020-12-29,,habit
log-0026,Cotopaxi Allpa 35L,2021-01-01,,things
log-0027,IF,2021-04-24,,habit
log-0028,Disney+,2021-06-30,2023-01-01,subscription
log-0029,Air Fryer,2021-08-08,,things
log-0030,Patagonia Black Hole 25L,2021-11-21,,things
log-0031,PS+,2021-12-18,2024-12-18,subscription
log-0032,Tenaya Mundaka,2022-02-08,2025-03-17,things
log-0033,PS5,2022-08-06,,things
log-0034,Sony A7III,2022-11-11,,things
log-0035,Kindle Paperwhite,2023-01-29,,things
log-0036,Headspace,2023-02-01,2024-02-01,subscription
log-0037,Lasik,2023-02-03,,life
log-0038,Pink Rayban,2023-02-04,,things
log-0039,Rayban Wayfarer,2023-02-06,,things
log-0040,Ascend Wealth,2023-04-01,,life
log-0041,Tenaya RA,2023-06-01,2024-10-18,things
log-0042,Classical guitar,2023-08-18,,things
log-0043,ร่าเริง,2023-08-27,,life
log-0044,แดง,2023-09-09,,life
log-0045,Sofa,2023-10-26,,things
log-0046,Chat-GPT,2023-12-14,,subscription
log-0047,Duolingo,2024-01-12,,subscription
log-0048,iPhone 15,2024-01-13,,things
log-0049,MSR Carbon Reflex 3 Tent V2,2024-01-21,,things
log-0050,Peak Design Tripod,2024-01-23,,things
log-0051,KIPRUN KD900,2024-02-04,,things
log-0052,Timemore Electric Kettle Thin Spout,2024-02-06,,things
log-0053,Yousician,2024-02-10,,subscription
log-0054,Philips Blender,2024-03-11,,things
log-0055,HOKA-CLIFTON 9 WIDE Men,2024-06-25,,things
log-0056,Obsidian,2024-07-23,,subscription
log-0057,La Sportiva TX4 Evo Goretex,2024-08-01,,things
log-0058,Casio CT-S1,2024-09-14,,things
log-0059,Tenaya Iati (UK8/USM9/EU42),2024-10-18,,things
log-0060,Airpod Max,2025-01-17,,things
log-0061,PlayStation Portal™,2025-01-21,,things
log-0062,ZZZ,2025-02-19,,subscription
log-0063,Tenaya Oasi (UK7/USM8/EU40¾),2025-03-17,,things
